i,t_epoch,t_rel,filtered_position_deg,measured_position_deg,filtered_delta_deg,measured_delta_deg,velocity_deg_per_sec,raw_velocity_deg_per_sec,pending_confirmation,glitch_rejected,raw_position_deg,pos_estimate,vel_estimate,error
344,1782788580.708041,17.828200764022768,16.28411979852897,16.28365625,-0.00022584547605219996,0.0,0.0,0.03822214901447296,False,False,16.34765625,0.04541015625,0.00010617263615131378,
345,1782788580.760334,17.880538397002965,16.28396794003088,16.28365625,-0.00015185849809995489,0.0,0.0,0.038222819566726685,False,False,16.34765625,0.04541015625,0.00010617449879646301,
346,1782788580.8126743,17.932394047966227,16.28386583037676,16.28365625,-0.00010210965410806239,0.0,0.0,6.961004287004471,False,False,16.34765625,0.04541015625,0.019336123019456863,
347,1782788580.8645256,17.984200458042324,16.283797171845336,16.28365625,-6.865853143267486e-05,0.0,0.0,0.038222819566726685,False,False,16.34765625,0.04541015625,0.00010617449879646301,
348,1782788580.9163153,18.03598394198343,16.283751005848806,16.28365625,-4.6165996536728926e-05,0.0,0.0,0.038222819566726685,False,False,16.34765625,0.04541015625,0.00010617449879646301,
349,1782788580.9681022,18.087676482042298,16.29955426229602,16.371546875,0.0158032564472137,0.087890625,0.0,-0.08247726189438254,False,False,16.435546875,0.045654296875,-0.0002291035052621737,
350,1782788581.019791,18.139427058864385,16.294346073467842,16.28365625,-0.005208188828191851,-0.087890625,0.0,3.897916227579117,False,False,16.34765625,0.04541015625,0.010827545076608658,
351,1782788581.0715547,18.1911983769387,16.30666439979978,16.371546875,0.01231832633192198,0.087890625,0.0,0.016745030879974365,False,False,16.435546875,0.045654296875,4.651397466659546e-05,
352,1782788581.1233585,18.24292387883179,16.31209958617537,16.28365625,0.005435186375592593,-0.087890625,0.0,8.725864961743355,False,False,16.34765625,0.04541015625,0.02423851378262043,
353,1782788581.1750379,18.294502974953502,16.302781549244322,16.28365625,-0.009318036931063034,0.0,0.0,0.0381799042224884,False,False,16.34765625,0.04541015625,0.00010605528950691223,
354,1782788581.2266173,18.346158624859527,16.296516101211886,16.28365625,-0.0062654480324226824,0.0,0.0,0.0381799042224884,False,False,16.34765625,0.04541015625,0.00010605528950691223,
