i,t_rel,error,display_position_deg,filtered_position_deg,measured_position_deg,velocity_deg_per_sec,raw_velocity_deg_per_sec,raw_position_deg,pos_estimate,pending_confirmation,glitch_rejected,display_delta_deg,filtered_delta_deg,measured_delta_deg
437,22.656039878027514,,16.28365625,16.288042490198098,16.28365625,0.0,9.08040001988411,16.34765625,0.04541015625,False,False,0.0,-0.0009628332142028739,0.0
438,22.707803445169702,,16.28365625,16.286074682485545,16.28365625,0.0,0.04671469330787659,16.34765625,0.04541015625,False,False,0.0,-0.001967807712560443,0.0
439,22.759630399988964,,16.28365625,16.285282404003283,16.28365625,0.0,0.10840550065040588,16.34765625,0.04541015625,False,False,0.0,-0.0007922784822653739,0.0
440,22.81144902203232,,16.28365625,16.284749675951808,16.28365625,0.0,8.978459984064102,16.34765625,0.04541015625,False,False,0.0,-0.0005327280514677568,0.0
441,22.863362939096987,,16.28365625,16.284391469609993,16.28365625,0.0,0.14058127999305725,16.34765625,0.04541015625,False,False,0.0,-0.0003582063418150483,0.0
442,22.91516426508315,,16.28365625,16.284150611665762,16.28365625,0.0,0.16740337014198303,16.34765625,0.04541015625,False,False,0.0,-0.00024085794422035178,0.0
443,22.966986295068637,,16.28365625,16.283988658784054,16.28365625,0.0,0.36052241921424866,16.34765625,0.04541015625,False,False,0.0,-0.00016195288171161337,0.0
444,23.01869130716659,,16.28365625,16.296852417916398,16.28365625,0.0,6.095079258084297,16.34765625,0.04541015625,False,False,0.0,0.012863759132358155,0.0
445,23.070481522008777,,16.28365625,16.29252935330699,16.28365625,0.0,0.6260503828525543,16.34765625,0.04541015625,False,False,0.0,-0.004323064609423,0.0
446,23.122366422088817,,16.28365625,16.28962252466362,16.28365625,0.0,0.03864660859107971,16.34765625,0.04541015625,False,False,0.0,-0.0029068286433755475,0.0
447,23.174455580068752,,16.28365625,16.316460941833817,16.371546875,0.0,-0.08205280231777579,16.435546875,0.045654296875,False,False,0.0,0.02683841717021096,0.087890625
448,23.22612701705657,,16.28365625,16.33450709353906,16.371546875,0.0,-0.0820588372880593,16.435546875,0.045654296875,False,False,0.0,0.018046151705249258,0.0
449,23.27774801105261,,16.28365625,16.333668669695662,16.371546875,0.0,2.80935175716877,16.435546875,0.045654296875,False,False,0.0,-0.0008384238433905011,0.0
450,23.329700466012582,,16.28365625,16.346077569753362,16.371546875,0.0,-0.08208029496017843,16.435546875,0.045654296875,False,False,0.0,0.012408900057693018,0.0
451,23.381578440079466,,16.28365625,16.35750391510477,16.371546875,0.0,0.0198228657245636,16.435546875,0.045654296875,False,False,0.0,0.01142634535139564,0.0
452,23.433412396116182,,16.28365625,16.346284076266446,16.28365625,0.0,8.460717871785164,16.34765625,0.04541015625,False,False,0.0,-0.0112198388383149,-0.087890625
453,23.484969408018515,,16.28365625,16.325767200381563,16.28365625,0.0,0.04394128918647766,16.34765625,0.04541015625,False,False,0.0,-0.020516875884879937,0.0
454,23.536814104998484,,16.28365625,16.311971653036565,16.28365625,0.0,10.84518626332283,16.34765625,0.04541015625,False,False,0.0,-0.013795547345011983,0.0
455,23.588508876040578,,16.28365625,16.306874880489982,16.28365625,0.0,0.035883933305740356,16.34765625,0.04541015625,False,False,0.0,-0.0050967725465795866,0.0
456,23.63996440800838,,16.28365625,16.299268457141462,16.28365625,0.0,0.03857016563415527,16.34765625,0.04541015625,False,False,0.0,-0.007606423348534008,0.0
457,23.691921881167218,,16.28365625,16.29415389808192,16.28365625,0.0,0.03857150673866272,16.34765625,0.04541015625,False,False,0.0,-0.005114559059535395,0.0
458,23.743552671046928,,16.28365625,16.28944431722763,16.28365625,0.0,0.04393458366394043,16.34765625,0.04541015625,False,False,0.0,-0.004709580854296291,0.0
459,23.79541436699219,,16.28365625,16.28754814640386,16.28365625,0.0,0.03857150673866272,16.34765625,0.04541015625,False,False,0.0,-0.0018961708237839048,0.0
460,23.84729834110476,,16.28365625,16.286273161141953,16.28365625,0.0,0.03857150673866272,16.34765625,0.04541015625,False,False,0.0,-0.0012749852619151625,0.0
461,23.89906457508914,,16.28365625,16.285415861051852,16.28365625,0.0,0.03587856888771057,16.34765625,0.04541015625,False,False,0.0,-0.0008573000901037631,0.0
462,23.950711384182796,,16.28365625,16.284839412471264,16.28365625,0.0,4.61709089577198,16.34765625,0.04541015625,False,False,0.0,-0.0005764485806025732,0.0
463,24.00254589598626,,16.28365625,16.28445180844568,16.28365625,0.0,8.522387892007828,16.34765625,0.04541015625,False,False,0.0,-0.00038760402557613816,0.0
464,24.054416185012087,,16.28365625,16.28419118349888,16.28365625,0.0,3.5522545874118805,16.34765625,0.04541015625,False,False,0.0,-0.00026062494680445525,0.0
465,24.106019494123757,,16.28365625,16.312808908034647,16.371546875,0.0,1.1892277747392654,16.435546875,0.045654296875,False,False,0.0,0.0286177245357635,0.087890625
466,24.15773922810331,,16.28365625,16.332051466012498,16.371546875,0.0,-0.08215003239456564,16.435546875,0.045654296875,False,False,0.0,0.019242557977861452,0.0
467,24.209429019130766,,16.28365625,16.316197193246804,16.28365625,0.0,0.046592652797698975,16.34765625,0.04541015625,False,False,0.0,-0.015854272765693622,-0.087890625
468,24.26117651211098,,16.28365625,16.305536780239155,16.28365625,0.0,0.39796069264411926,16.34765625,0.04541015625,False,False,0.0,-0.010660413007656189,0.0
469,24.31299761706032,,16.28365625,16.29836871853281,16.28365625,0.0,9.394091069698334,16.34765625,0.04541015625,False,False,0.0,-0.007168061706352091,0.0
470,24.364629722200334,,16.28365625,16.29354891384146,16.28365625,0.0,0.038538649678230286,16.34765625,0.04541015625,False,False,0.0,-0.004819804691351237,0.0
471,24.416801157174632,,16.28365625,16.290308077166994,16.28365625,0.0,0.03853932023048401,16.34765625,0.04541015625,False,False,0.0,-0.003240836674478942,0.0
472,24.468812835169956,,16.28365625,16.288128938587086,16.28365625,0.0,1.27235546708107,16.34765625,0.04541015625,False,False,0.0,-0.0021791385799190266,0.0
473,24.520819493103772,,16.28365625,16.286663685805955,16.28365625,0.0,5.582668036222458,16.34765625,0.04541015625,False,False,0.0,-0.0014652527811449545,0.0
474,24.572651023045182,,16.28365625,16.314107422615454,16.371546875,0.0,4.592929556965828,16.435546875,0.045654296875,False,False,0.0,0.027443736809487973,0.087890625
475,24.62489518104121,,16.28365625,16.332924587216635,16.371546875,0.0,-0.06607287155929953,16.435546875,0.045654296875,False,False,0.0,0.018817164601188097,0.0
476,24.676692452048883,,16.28365625,16.33987659901764,16.371546875,0.0,0.1565404236316681,16.435546875,0.045654296875,False,False,0.0,0.006952011800990476,0.0
477,24.72882786905393,,16.28365625,16.354084898272152,16.371546875,0.0,-0.04730813729111105,16.435546875,0.045654296875,False,False,0.0,0.014208299254505619,0.0
478,24.780741806142032,,16.28365625,16.346832785598195,16.371546875,0.0,0.985337644815445,16.435546875,0.045654296875,False,False,0.0,-0.007252112673967304,0.0
479,24.832803890109062,,16.28365625,16.35492912128623,16.371546875,0.0,-0.08218758332077414,16.435546875,0.045654296875,False,False,0.0,0.00809633568803747,0.0
480,24.884767272043973,,16.28365625,16.344552784902863,16.28365625,0.0,-8.118097186088562,16.34765625,0.04541015625,False,False,0.0,-0.01037633638335933,-0.087890625
