i,t_rel,axis0.pos_estimate,axis0.vel_estimate,axis0.pos_vel_mapper.pos_rel,axis0.pos_vel_mapper.pos_abs,axis0.pos_vel_mapper.vel,axis0.pos_vel_mapper.working_offset,encoder_estimator0.pos_estimate,encoder_estimator0.vel_estimate,spi_encoder0.raw,spi_encoder0.n_errors,spi_encoder0.status,spi_encoder0.warning,onboard_encoder0.raw,onboard_encoder0.status,axis0.active_errors,axis0.pos_estimate.delta,axis0.pos_vel_mapper.pos_rel.delta,encoder_estimator0.pos_estimate.delta,spi_encoder0.raw.delta,onboard_encoder0.raw.delta
29,1.571071265032515,0.0566595196723938,0.525519073009491,0.05696737766265869,,0.40344130992889404,0.0,0.9965221285820007,0.26416015625,0.9963836669921875,0.0,0.0,0.0,0.5257568359375,0.0,268435969.0,-0.00021022558212280273,9.763240814208984e-05,0.00013840198516845703,0.029449462890625,-0.25482177734375
30,1.6251404040958732,0.057125627994537354,0.5351378321647644,0.05708944797515869,,-2.3699331283569336,0.0,0.9942758083343506,0.24039269983768463,0.9963836669921875,0.0,0.0,0.0,0.3082275390625,0.0,268435969.0,0.0004661083221435547,0.0001220703125,-0.0022463202476501465,0.0,-0.217529296875
31,1.6791419321671128,0.056869566440582275,-0.00023864954710006714,0.056869566440582275,,-0.00023864954710006714,0.0,0.9963837265968323,-0.00023864954710006714,0.9963836669921875,0.0,0.0,0.0,0.6689453125,0.0,268435969.0,-0.0002560615539550781,-0.00021988153457641602,0.0021079182624816895,0.0,0.3607177734375
32,1.7331395901273936,0.0568697452545166,0.0001710057258605957,0.056869566440582275,,0.0001188516616821289,0.0,0.9963837265968323,7.414817810058594e-05,0.9963836669921875,0.0,0.0,0.0,0.14520263671875,0.0,268435969.0,1.7881393432617188e-07,0.0,0.0,0.0,-0.52374267578125
33,1.787141377106309,0.056981563568115234,0.19093573093414307,0.05695468187332153,,0.11442571878433228,0.0,0.9964284896850586,-2.6360530853271484,0.9963836669921875,0.0,0.0,0.0,0.5440673828125,0.0,268435969.0,0.00011181831359863281,8.511543273925781e-05,4.476308822631836e-05,0.0,0.39886474609375
34,1.8411402020137757,0.049651920795440674,-1.0632356405258179,0.0552515983581543,,0.5922685265541077,0.0,0.996456503868103,0.5683149099349976,0.9963836669921875,0.0,0.0,0.0,0.30133056640625,0.0,268435969.0,-0.0073296427726745605,-0.0017030835151672363,2.8014183044433594e-05,0.0,-0.24273681640625
35,1.8955169131513685,0.0568697452545166,0.0003497004508972168,0.0568697452545166,,0.00018578767776489258,0.0,0.9963837265968323,0.00013363361358642578,0.9963836669921875,0.0,0.0,0.0,0.69598388671875,0.0,268435969.0,0.007217824459075928,0.0016181468963623047,-7.277727127075195e-05,0.0,0.3946533203125
36,1.9496336071752012,0.056869566440582275,8.124113082885742e-05,0.056869566440582275,,3.653764724731445e-05,0.0,0.9963837265968323,-8.165837243723217e-06,0.9963836669921875,0.0,0.0,0.0,0.126708984375,0.0,268435969.0,-1.7881393432617188e-07,-1.7881393432617188e-07,0.0,0.0,-0.56927490234375
37,2.0036525612231344,0.05701613426208496,0.35304540395736694,0.05700737237930298,,0.2073194980621338,0.0,0.9891003370285034,-1.8028621673583984,0.9963836669921875,0.0,0.0,0.0,0.50164794921875,0.0,268435969.0,0.00014656782150268555,0.00013780593872070312,-0.007283389568328857,0.0,0.37493896484375
38,2.0577720331493765,0.0568697452545166,0.0003943443298339844,0.0568697452545166,,0.0002155303955078125,0.0,0.9963837265968323,0.0001335740089416504,0.9963836669921875,0.0,0.0,0.0,0.658447265625,0.0,268435969.0,-0.00014638900756835938,-0.00013762712478637695,0.007283389568328857,0.0,0.15679931640625
39,2.1117770802229643,0.056869566440582275,5.179643630981445e-05,0.056869566440582275,,7.0929522735241335e-06,0.0,0.9963837265968323,-3.761053449125029e-05,0.9963836669921875,0.0,0.0,0.0,0.716552734375,0.0,268435969.0,-1.7881393432617188e-07,-1.7881393432617188e-07,0.0,0.0,0.05810546875
40,2.1657737381756306,0.05701565742492676,0.30640488862991333,0.05699533224105835,,0.19097304344177246,0.0,0.9964568614959717,0.11444813013076782,0.9963836669921875,0.0,0.0,0.0,0.5306396484375,0.0,268435969.0,0.00014609098434448242,0.00012576580047607422,7.31348991394043e-05,0.0,-0.1859130859375
41,2.219770599156618,0.05698949098587036,0.1922244429588318,0.05695527791976929,,0.11520779132843018,0.0,0.9964287877082825,0.06774014234542847,0.9963836669921875,0.0,0.0,0.0,0.5601806640625,0.0,268435969.0,-2.6166439056396484e-05,-4.00543212890625e-05,-2.8073787689208984e-05,0.0,0.029541015625
42,2.273906516144052,0.056891798973083496,0.03267049789428711,0.05688512325286865,,0.01889437437057495,0.0,0.9963911771774292,0.010929703712463379,0.9963836669921875,0.0,0.0,0.0,0.7381591796875,0.0,268435969.0,-9.769201278686523e-05,-7.015466690063477e-05,-3.7610530853271484e-05,0.0,0.177978515625
43,2.327903859084472,0.0568697452545166,0.00022262334823608398,0.056869566440582275,,0.00013321638107299805,0.0,0.9963837265968323,8.106231689453125e-05,0.9963836669921875,0.0,0.0,0.0,0.45526123046875,0.0,268435969.0,-2.205371856689453e-05,-1.5556812286376953e-05,-7.450580596923828e-06,0.0,-0.28289794921875
44,2.3821433300618082,0.056869566440582275,-0.00023883582616690546,0.056869566440582275,,-0.00023883582616690546,0.0,0.9963837265968323,-0.00023883582616690546,0.9963836669921875,0.0,0.0,0.0,0.17156982421875,0.0,268435969.0,-1.7881393432617188e-07,0.0,0.0,0.0,-0.28369140625
45,2.436161580029875,0.057005226612091064,0.22048461437225342,0.05696743726730347,,0.13244110345840454,0.0,0.9964354634284973,0.07794010639190674,0.9963836669921875,0.0,0.0,0.0,0.1690673828125,0.0,268435969.0,0.00013566017150878906,9.78708267211914e-05,5.173683166503906e-05,0.0,-0.00250244140625
