i,t,axis_pos,mapper_pos,estimator_pos,spi_raw,spi_errors,spi_status,axis_pos_d,mapper_pos_d,estimator_pos_d,spi_raw_d,dt
1239,15.003772519994527,0.05750155448913574,0.05750042200088501,0.9970133304595947,0.99700927734375,0,0,4.2378902435302734e-05,-9.238719940185547e-05,-0.00013959407806396484,0.0,0.012199054006487131
1240,15.015896111028269,0.05749523639678955,0.05156761407852173,0.9933004379272461,0.99700927734375,0,0,-6.318092346191406e-06,-0.005932807922363281,-0.003712892532348633,0.0,0.012123591033741832
1241,15.027922111097723,0.05756169557571411,0.05763012170791626,0.989719033241272,0.99700927734375,0,0,6.645917892456055e-05,0.006062507629394531,-0.003581404685974121,0.0,0.012026000069454312
1242,15.040342182153836,0.05283540487289429,0.05526864528656006,0.9957161545753479,0.99700927734375,0,0,-0.004726290702819824,-0.002361476421356201,0.005997121334075928,0.0,0.012420071056112647
1243,15.052315885201097,0.057517945766448975,0.057512521743774414,0.9970238208770752,0.99700927734375,0,0,0.0046825408935546875,0.0022438764572143555,0.001307666301727295,0.0,0.011973703047260642
1244,15.064524236135185,0.0575065016746521,0.05750381946563721,0.9970158934593201,0.99700927734375,0,0,-1.1444091796875e-05,-8.702278137207031e-06,-7.927417755126953e-06,0.0,0.01220835093408823
1245,15.07688553002663,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-1.1265277862548828e-05,-8.58306884765625e-06,-6.496906280517578e-06,0.0,0.012361293891444802
1246,15.08890034398064,0.05749589204788208,0.057495713233947754,0.9970097541809082,0.99700927734375,0,0,6.556510925292969e-07,4.76837158203125e-07,3.5762786865234375e-07,0.0,0.012014813954010606
1247,15.101026028161868,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-7.748603820800781e-07,-5.960464477539062e-07,-4.76837158203125e-07,0.0,0.01212568418122828
1248,15.11328626703471,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,0.0,0.0,0.0,0.0,0.012260238872841
