i,t_rel,timestamp,pos_estimate,vel_estimate,raw_position_deg,filtered_position_deg,position_deg,measured_position_deg,velocity_deg_per_sec,raw_velocity_deg_per_sec,current,pos_estimate_delta,raw_position_delta_deg,position_delta_deg,error
14,0.7270498920697719,2026-06-30T15:04:18.747+07:00,0.05642437934875488,-0.014616729691624641,33.85462760925293,33.52495133856638,33.52495133856638,33.79062760925293,17.95600477097911,-8.770037814974785,0.0,0.0021555423736572266,1.293325424194336,0.2460806995585756,
15,0.7789398320019245,2026-06-30T15:04:18.797+07:00,0.05528026819229126,0.5522451400756836,33.168160915374756,33.384092776191885,33.384092776191885,33.104160915374756,5.398635209985741,331.34708404541016,0.0,-0.001144111156463623,-0.6864666938781738,-0.1408585623744898,
16,0.8306531051639467,2026-06-30T15:04:18.847+07:00,0.055100440979003906,0.003792881965637207,33.060264587402344,33.221695502567535,33.221695502567535,32.996264587402344,0.10875580715056277,2.275729179382324,0.0,-0.00017982721328735352,-0.10789632797241211,-0.1623972736243502,
17,0.8823184340726584,2026-06-30T15:04:18.897+07:00,0.054409801959991455,-0.011585296131670475,32.64588117599487,32.89941613434253,32.89941613434253,32.58188117599487,-3.7705893832724833,-6.951177679002285,0.0,-0.0006906390190124512,-0.4143834114074707,-0.32227936822499714,
18,0.9341292441822588,2026-06-30T15:04:18.948+07:00,0.0536838173866272,0.480421245098114,32.21029043197632,32.51972157613243,32.51972157613243,32.14629043197632,-5.966357996743161,288.2527470588684,0.0,-0.0007259845733642578,-0.4355907440185547,-0.37969455821010456,
19,0.985767814097926,2026-06-30T15:04:18.997+07:00,0.05345010757446289,0.3227822184562683,32.070064544677734,32.23347435590046,32.23347435590046,32.006064544677734,-5.808944578582508,193.669331073761,0.0,-0.00023370981216430664,-0.14022588729858398,-0.286247220231985,
20,1.037500383099541,2026-06-30T15:04:19.047+07:00,0.052825212478637695,-0.005259752739220858,31.695127487182617,31.920774842181068,31.920774842181068,31.631127487182617,-6.059107193431987,-3.1558516435325146,0.0,-0.0006248950958251953,-0.3749370574951172,-0.3126995137193944,
21,1.0891029711347073,2026-06-30T15:04:19.097+07:00,0.05233895778656006,-0.012151540257036686,31.403374671936035,31.61817871849682,31.61817871849682,31.339374671936035,-6.115279122339893,-7.290924154222012,0.0,-0.0004862546920776367,-0.29175281524658203,-0.30259612368425337,
22,1.1409075031988323,2026-06-30T15:04:19.148+07:00,0.05182921886444092,0.10077616572380066,31.09753131866455,31.324479428757627,31.324479428757627,31.03353131866455,-6.062764539486245,60.465699434280396,0.0,-0.0005097389221191406,-0.3058433532714844,-0.2936992897392088,
23,1.192603814182803,2026-06-30T15:04:19.223+07:00,0.050823986530303955,-0.010148347355425358,30.494391918182373,30.78537052827588,30.78537052827588,30.430391918182373,-6.90777574594729,-6.089008413255215,0.0,-0.0010052323341369629,-0.6031394004821777,-0.5391089004817502,
24,1.244210846023634,2026-06-30T15:04:19.273+07:00,0.05029648542404175,0.06776991486549377,30.17789125442505,30.427621349164735,30.427621349164735,30.11389125442505,-7.0420992626275645,40.661948919296265,0.0,-0.000527501106262207,-0.3165006637573242,-0.35774917911115267,
25,1.2958970270119607,2026-06-30T15:04:19.324+07:00,0.049725472927093506,-0.010163010098040104,29.835283756256104,30.084181538061806,30.084181538061806,29.771283756256103,-6.885354906575997,-6.097806058824062,0.0,-0.0005710124969482422,-0.3426074981689453,-0.34343981110293953,
26,1.3477291699964553,2026-06-30T15:04:19.374+07:00,0.04929929971694946,-0.00619202945381403,29.579579830169678,29.78191444886409,29.78191444886409,29.515579830169678,-6.415873035960201,-3.715217672288418,0.0,-0.00042617321014404297,-0.2557039260864258,-0.30226708919772705,
27,1.3996661650016904,2026-06-30T15:04:19.424+07:00,0.048936665058135986,-0.0025711359921842813,29.361999034881592,29.512541979463883,29.512541979463883,29.29799903488159,-5.728721285751891,-1.5426815953105688,0.0,-0.00036263465881347656,-0.21758079528808594,-0.26937246940019577,
28,1.451323957182467,2026-06-30T15:04:19.474+07:00,0.04780983924865723,0.341570645570755,28.685903549194336,29.13328085868181,29.13328085868181,28.621903549194336,-7.40286052314572,204.942387342453,0.0,-0.0011268258094787598,-0.6760954856872559,-0.3792611207820755,
29,1.5030710080172867,2026-06-30T15:04:19.524+07:00,0.0483279824256897,-0.007309943437576294,28.99678945541382,29.053084086062334,29.053084086062334,28.93278945541382,-4.2025263530079355,-4.385966062545776,0.0,0.0005181431770324707,0.3108859062194824,-0.08019677261947322,
30,1.5556214281823486,2026-06-30T15:04:19.574+07:00,0.04821830987930298,7.31348991394043e-05,28.930985927581787,28.764048664531575,28.764048664531575,28.866985927581787,-3.913916020707919,0.04388093948364258,0.0,-0.00010967254638671875,-0.06580352783203125,-0.28903542153076955,
31,1.607693182071671,2026-06-30T15:04:19.637+07:00,0.04821878671646118,0.0009149610996246338,28.93127202987671,28.8235950697463,28.8235950697463,28.86727202987671,-1.126434848082312,0.5489766597747803,0.0,4.76837158203125e-07,0.000286102294921875,0.05954640521471788,
