i,t_rel,error,timestamp,pos_estimate,raw_position_deg,measured_position_deg,filtered_position_deg,position_deg,vel_estimate,velocity_deg_per_sec,raw_velocity_deg_per_sec,pos_estimate_scaled_deg_0p06,pos_estimate_mod_0p06,pos_estimate_delta,raw_position_deg_delta,measured_position_deg_delta,filtered_position_deg_delta,position_deg_delta,velocity_deg_per_sec_delta,raw_velocity_deg_per_sec_delta
1315,68.20377429900691,,2026-06-30T15:12:38.537+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.646469150116,340.646469150116,-0.00023108722234610468,6.324802818223022,-1.386523334076628,341.21739864349365,0.056869566440582275,-9.1552734375e-05,-0.54931640625,-0.54931640625,0.9112767056091116,0.9112767056091116,12.758190852095561,-891.2533522525337
1316,68.25527631002478,,2026-06-30T15:12:38.611+07:00,0.05686980485916138,341.21882915496826,341.15482915496824,341.146650282063,341.146650282063,0.0005214214324951172,5.631865682288405,3.128528594970703,341.21882915496826,0.05686980485916138,2.384185791015625e-07,0.001430511474609375,0.001430511474609375,0.500181131946988,0.500181131946988,-0.692937135934617,4.515051929047331
1317,68.306719932938,,2026-06-30T15:12:38.661+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.1505474607892,341.1505474607892,-0.00022363664174918085,2.4221901931629404,-1.3418198504950851,341.21739864349365,0.056869566440582275,-2.384185791015625e-07,-0.001430511474609375,-0.001430511474609375,0.003897178726219863,0.003897178726219863,-3.2096754891254644,-4.470348445465788
1318,68.35816916590557,,2026-06-30T15:12:38.712+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.19954573674994,341.19954573674994,4.482269287109375e-05,1.3029000072409,0.2689361572265625,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.048998275960741466,0.048998275960741466,-1.1192901859220403,1.6107560077216476
1319,68.40993851004168,,2026-06-30T15:12:38.762+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.50525283938276,340.50525283938276,-0.0002458095841575414,-3.526555795945397,-1.4748575049452484,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,-0.6942928973671769,-0.6942928973671769,-4.829455803186297,-1.7437936621718109
1320,68.46154005802236,,2026-06-30T15:12:38.813+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.9406586566857,340.9406586566857,-0.00022369624639395624,2.9056319347547204,-1.3421774783637375,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.4354058173029216,0.4354058173029216,6.432187730700117,0.1326800265815109
1321,68.5131037728861,,2026-06-30T15:12:38.861+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.06351599906725,341.06351599906725,-0.00023871661687735468,2.6200759253209878,-1.432299701264128,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.12285734238156465,0.12285734238156465,-0.2855560094337326,-0.09012222290039062
1322,68.5647716538515,,2026-06-30T15:12:38.912+07:00,0.056877732276916504,341.266393661499,341.202393661499,341.21108421073967,341.21108421073967,0.012009739875793457,2.373101079234875,72.05843925476074,341.266393661499,0.056877732276916504,8.165836334228516e-06,0.048995018005371094,0.048995018005371094,0.1475682116724215,0.1475682116724215,-0.24697484608611298,73.49073895602487
1323,68.61650575790554,,2026-06-30T15:12:38.962+07:00,0.05687505006790161,341.25030040740967,341.18630040740965,341.191564502549,341.191564502549,0.008112967014312744,0.8198499802882889,48.677802085876465,341.25030040740967,0.05687505006790161,-2.682209014892578e-06,-0.01609325408935547,-0.01609325408935547,-0.01951970819067128,-0.01951970819067128,-1.553251098946586,-23.380637168884277
1324,68.66815645387396,,2026-06-30T15:12:39.012+07:00,0.056970834732055664,341.825008392334,341.76100839233396,341.3821871310387,341.3821871310387,0.617056131362915,3.2320692830913225,3702.3367881774902,341.825008392334,0.056970834732055664,9.578466415405273e-05,0.5747079849243164,0.5747079849243164,0.19062262848967748,0.19062262848967748,2.4122193028030336,3653.6589860916138
1325,68.71996248303913,,2026-06-30T15:12:39.063+07:00,0.05405092239379883,324.30553436279297,324.24153436279295,335.3704504065337,335.3704504065337,-0.08880467712879181,-83.56031980778329,-532.8280627727509,324.30553436279297,0.05405092239379883,-0.002919912338256836,-17.519474029541016,-17.519474029541016,-6.011736724504999,-6.011736724504999,-86.79238909087461,-4235.164850950241
1326,68.77155138296075,,2026-06-30T15:12:39.113+07:00,0.05687016248703003,341.2209749221802,341.15697492218015,338.71135471091833,338.71135471091833,-2.7023491859436035,2.4076565819047744,-16214.095115661621,341.2209749221802,0.05687016248703003,0.002819240093231201,16.915440559387207,16.915440559387207,3.340904304384651,3.340904304384651,85.96797638968806,-15681.26705288887
1327,68.82326446799561,,2026-06-30T15:12:39.163+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.12163508198057,340.12163508198057,-0.0002245903160655871,16.624442666195513,-1.3475418963935226,341.21739864349365,0.056869566440582275,-5.960464477539062e-07,-0.0035762786865234375,-0.0035762786865234375,1.4102803710622425,1.4102803710622425,14.216786084290739,16212.747573765228
1328,68.87511842302047,,2026-06-30T15:12:39.213+07:00,0.05100315809249878,306.0189485549927,305.95494855499265,328.398021007779,328.398021007779,-1.3152965307235718,-161.76288250540273,-7891.779184341431,306.0189485549927,0.05100315809249878,-0.005866408348083496,-35.19845008850098,-35.19845008850098,-11.723614074201578,-11.723614074201578,-178.38732517159823,-7890.431642445037
1329,68.92679982283153,,2026-06-30T15:12:39.263+07:00,0.05690127611160278,341.4076566696167,341.3436566696167,335.86395555997547,335.86395555997547,0.04705733060836792,15.87616347353238,282.3439836502075,341.4076566696167,0.05690127611160278,0.005898118019104004,35.38870811462402,35.38870811462402,7.465934552196472,7.465934552196472,177.63904597893512,8174.123167991638
1330,68.97882909188047,,2026-06-30T15:12:39.313+07:00,0.0568731427192688,341.2388563156128,341.1748563156128,338.9261191259489,338.9261191259489,0.005378901958465576,40.18054204404136,32.27341175079346,341.2388563156128,0.0568731427192688,-2.8133392333984375e-05,-0.16880035400390625,-0.16880035400390625,3.062163565973435,3.062163565973435,24.30437857050898,-250.07057189941406
1331,69.03155273082666,,2026-06-30T15:12:39.363+07:00,0.057001590728759766,342.0095443725586,341.9455443725586,340.69221129939854,340.69221129939854,0.2435070276260376,36.63246016411577,1461.0421657562256,342.0095443725586,0.057001590728759766,0.0001284480094909668,0.7706880569458008,0.7706880569458008,1.7660921734496355,1.7660921734496355,-3.54808187992559,1428.7687540054321
1332,69.08311681589112,,2026-06-30T15:12:39.438+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.02809971878446,341.02809971878446,-8.40425582282478e-06,12.907968486907983,-0.05042553493694868,341.21739864349365,0.056869566440582275,-0.00013202428817749023,-0.7921457290649414,-0.7921457290649414,0.33588841938592395,0.33588841938592395,-23.724491677207787,-1461.0925912911625
1333,69.13478508591652,,2026-06-30T15:12:39.488+07:00,0.055893778800964355,335.36267280578613,335.2986728057861,339.0513058046064,339.0513058046064,0.4070989191532135,-24.07099072260577,2442.593514919281,335.36267280578613,0.055893778800964355,-0.0009757876396179199,-5.8547258377075195,-5.8547258377075195,-1.9767939141780744,-1.9767939141780744,-36.978959209513754,2442.643940454218
1334,69.1865670599509,,2026-06-30T15:12:39.538+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,330.215635207638,330.215635207638,-0.0002391934540355578,-53.87110141839071,-1.4351607242133468,341.21739864349365,0.056869566440582275,0.0009757876396179199,5.8547258377075195,5.8547258377075195,-8.835670596968384,-8.835670596968384,-29.800110695784937,-2444.0286756434944
1335,69.23821251583286,,2026-06-30T15:12:39.589+07:00,0.05686992406845093,341.21954441070557,341.15554441070555,336.5329446103688,336.5329446103688,0.0005730390548706055,45.459478785338305,3.438234329223633,341.21954441070557,0.05686992406845093,3.5762786865234375e-07,0.0021457672119140625,0.0021457672119140625,6.317309402730814,6.317309402730814,99.33058020372901,4.87339505343698
1336,69.2898801008705,,2026-06-30T15:12:39.639+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,339.46763056804605,339.46763056804605,-0.00019389392400626093,50.651520021863305,-1.1633635440375656,341.21739864349365,0.056869566440582275,-3.5762786865234375e-07,-0.0021457672119140625,-0.0021457672119140625,2.9346859576772317,2.9346859576772317,5.192041236525,-4.601597873261198
1337,69.34194816602394,,2026-06-30T15:12:39.688+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.4419752350182,340.4419752350182,-0.0002386570122325793,32.25559523857652,-1.4319420733954757,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.974344666972172,0.974344666972172,-18.395924783286787,-0.26857852935791016
1338,69.39370300993323,,2026-06-30T15:12:39.739+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.8531476947732,340.8531476947732,-0.00022369624639395624,18.139338553073536,-1.3421774783637375,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.4111724597549937,0.4111724597549937,-14.116256685502982,0.08976459503173828
1339,69.44548844685778,,2026-06-30T15:12:39.789+07:00,0.0539931058883667,323.9586353302002,323.8946353302002,334.9859754580066,334.9859754580066,-0.1771302968263626,-78.5019920084272,-1062.7817809581757,323.9586353302002,0.0539931058883667,-0.002876460552215576,-17.258763313293457,-17.258763313293457,-5.867172236766635,-5.867172236766635,-96.64133056150072,-1061.439603479812
1340,69.49723995802924,,2026-06-30T15:12:39.841+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,338.6440743506657,338.6440743506657,-0.00023835900356061757,5.26692470064026,-1.4301540213637054,341.21739864349365,0.056869566440582275,0.002876460552215576,17.258763313293457,17.258763313293457,3.6580988926590976,3.6580988926590976,83.76891670906745,1061.351626936812
1341,69.54896841291338,,2026-06-30T15:12:39.889+07:00,0.056886255741119385,341.3175344467163,341.2535344467163,340.1276871385209,340.1276871385209,0.024393022060394287,19.2462458070511,146.35813236236572,341.3175344467163,0.056886255741119385,1.6689300537109375e-05,0.10013580322265625,0.10013580322265625,1.483612787855236,1.483612787855236,13.97932110641084,147.78828638372943
1342,69.6007163869217,,2026-06-30T15:12:39.940+07:00,0.04951918125152588,297.1150875091553,297.05108750915525,325.28422663562424,325.28422663562424,-1.910172700881958,-206.69952607861754,-11461.036205291748,297.1150875091553,0.04951918125152588,-0.007367074489593506,-44.202446937561035,-44.202446937561035,-14.843460502896676,-14.843460502896676,-225.94577188566865,-11607.394337654114
1343,69.6527451009024,,2026-06-30T15:12:39.989+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,334.7238341404493,334.7238341404493,-0.00022369624639395624,16.27596839793621,-1.3421774783637375,341.21739864349365,0.056869566440582275,0.0073503851890563965,44.10231113433838,44.10231113433838,9.439607504825062,9.439607504825062,222.97549447655376,11459.694027813384
1344,69.70524796191603,,2026-06-30T15:12:40.040+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,338.6625198641057,338.6625198641057,0.0001481771469116211,48.44919055262233,0.8890628814697266,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,3.9386857236564197,3.9386857236564197,32.17322215468612,2.231240359833464
1345,69.75702926889062,,2026-06-30T15:12:40.091+07:00,0.0569881796836853,341.9290781021118,341.8650781021118,340.37140657882964,340.37140657882964,0.42649972438812256,39.71513394237259,2558.9983463287354,341.9290781021118,0.0569881796836853,0.00011861324310302734,0.7116794586181641,0.7116794586181641,1.708886714723917,1.708886714723917,-8.734056610249745,2558.1092834472656
1346,69.80875887186266,,2026-06-30T15:12:40.144+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.9561125126068,340.9561125126068,-1.132489046540286e-06,22.26029293414623,-0.0067949342792417156,341.21739864349365,0.056869566440582275,-0.00011861324310302734,-0.7116794586181641,-0.7116794586181641,0.5847059337771725,0.5847059337771725,-17.45484100822636,-2559.0051412630146
1347,69.86072534602135,,2026-06-30T15:12:40.216+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.29863313342906,341.29863313342906,-0.00023239852453116328,8.665594613084231,-1.3943911471869797,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.3425206208222562,0.3425206208222562,-13.594698321061998,-1.387596212907738
1348,69.91243331995793,,2026-06-30T15:12:40.266+07:00,0.056889891624450684,341.3393497467041,341.2753497467041,338.91955372831256,338.91955372831256,0.02983790636062622,-11.437610125890906,179.02743816375732,341.3393497467041,0.056889891624450684,2.0325183868408203e-05,0.12195110321044922,0.12195110321044922,-2.3790794051164994,-2.3790794051164994,-20.103204738975137,180.4218293109443
1349,69.96428882982582,,2026-06-30T15:12:40.317+07:00,0.05687224864959717,341.233491897583,341.169491897583,340.2152318057609,340.2152318057609,0.004066288471221924,9.473789583067415,24.397730827331543,341.233491897583,0.05687224864959717,-1.7642974853515625e-05,-0.10585784912109375,-0.10585784912109375,1.295678077448315,1.295678077448315,20.91139970895832,-154.62970733642578
1350,70.01653058081865,,2026-06-30T15:12:40.366+07:00,0.056928396224975586,341.5703773498535,341.5063773498535,340.88382011538226,340.88382011538226,0.08972573280334473,11.890808799349088,538.3543968200684,341.5703773498535,0.056928396224975586,5.614757537841797e-05,0.3368854522705078,0.3368854522705078,0.6685883096213843,0.6685883096213843,2.4170192162816733,513.9566659927368
