i,t,axis_pos,axis_vel,mapper_pos_rel,mapper_pos_abs,working_offset,encoder_estimator_pos,spi_raw,spi_errors,spi_status
806,18.796951930969954,0.0005896091461181641,0.4240815043449402,0.9940492510795593,0.9951550960540771,-0.00299072265625,0.9983713030815125,0.99896240234375,0,0
807,18.820266969967633,0.001953601837158203,0.0005601644515991211,0.0019533634185791016,0.9989626407623291,-0.00299072265625,0.9989625811576843,0.99896240234375,0,0
808,18.843377786921337,0.001960158348083496,0.009284675121307373,0.0019571781158447266,0.9989655017852783,-0.00299072265625,0.9989643692970276,0.99896240234375,0,0
809,18.866974510950968,0.0019532442092895508,-5.09023702761624e-05,0.0019532442092895508,0.9989625215530396,-0.00299072265625,0.9989625215530396,0.99896240234375,0,0
810,18.89060280798003,0.0019379854202270508,-0.00020706655050162226,0.0019379854202270508,0.998947262763977,-0.00299072265625,0.9912643432617188,0.9989471435546875,0,0
811,18.91388171701692,0.9958175420761108,-0.8704497218132019,0.0005753040313720703,0.9984214305877686,-0.00299072265625,0.9990158677101135,0.9989471435546875,0,0
812,18.93732766294852,0.0020589828491210938,0.17611879110336304,0.0020127296447753906,0.999010443687439,-0.00299072265625,0.998984694480896,0.9989471435546875,0,0
813,18.96083494205959,0.9943516850471497,-0.7414875030517578,0.0006300210952758789,0.9984638690948486,-0.00299072265625,0.9951677918434143,0.9989471435546875,0,0
814,18.98428690689616,0.0019381046295166016,9.065866470336914e-05,0.0019379854202270508,0.998947262763977,-0.00299072265625,0.998947262763977,0.9989471435546875,0,0
815,19.00833805394359,0.9989486336708069,0.058815885335206985,0.001418471336364746,0.998835563659668,-0.00299072265625,0.9942184686660767,0.9989471435546875,0,0
816,19.031626445008442,0.0019378662109375,-0.00023740532924421132,0.0019378662109375,0.9989471435546875,-0.00299072265625,0.9989471435546875,0.9989471435546875,0,0
817,19.054918206995353,0.0019418001174926758,0.005216002464294434,0.0019402503967285156,0.9989488124847412,-0.00299072265625,0.9989482164382935,0.9989471435546875,0,0
818,19.07827541208826,0.001988649368286133,0.07024449110031128,0.0019681453704833984,0.9989726543426514,-0.00299072265625,0.9989620447158813,0.9989471435546875,0,0
819,19.101637988118455,0.0020846128463745117,1.017317295074463,0.002271413803100586,0.9992587566375732,-0.00299072265625,0.9991692900657654,0.9989471435546875,0,0
